Alloy,Al,Co,Cr,Fe,Ni,Cu,Mn,Ti,V,Nb,Mo,Zr,Hf,Ta,Homogenization_Temp,Homogenization_Time,Annealing_Temp,Annealing_Time_(min),Quenching,HPR,Microstructure,Phases,alloy_description,Unnamed: 24,References
Al0.6MoTaTiV,0.130434783,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.217391304,0.217391304,0.217391304,0.0,0.0,0.217391304,,,,,,,BCC,BCC_SS,"The alloy Al0.6MoTaTiV contains 5 elemental compositions: Al (0.130434783), V (0.217391304), Nb (0.217391304), Mo (0.217391304), Ta (0.217391304) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.4028/www.scientific.net/MSF.898.638
Al1.5MoNbTiV,0.272727273,0.0,0.0,0.0,0.0,0.0,0.0,0.181818182,0.181818182,0.181818182,0.181818182,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy Al1.5MoNbTiV contains 5 elemental compositions: Al (0.272727273), Ti (0.181818182), V (0.181818182), Nb (0.181818182), Mo (0.181818182) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.3390/e16020870
AlCr0.5NbTiV,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,0.0,1200.0,1440.0,,,,,BCC,BCC_SS,"The alloy AlCr0.5NbTiV contains 5 elemental compositions: Al (0.222222222), Cr (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222) and with heat treatment -  undergone homogenization process at 1200.0°C, for 1440.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,0.0,1200.0,1440.0,,,,,BCC,BCC_SS,"The alloy AlCr0.5NbTiV contains 5 elemental compositions: Al (0.222222222), Cr (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222) and with heat treatment -  undergone homogenization process at 1200.0°C, for 1440.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,0.0,1200.0,1440.0,,,,,BCC + Im,Im,"The alloy AlCr0.5NbTiV contains 5 elemental compositions: Al (0.222222222), Cr (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222) and with heat treatment -  undergone homogenization process at 1200.0°C, for 1440.0 minutes,,showing a BCC and Im microstructure and Im phases.",,10.1016/j.jallcom.2015.08.224
AlCr0.5NbTiV,0.222222222,0.0,0.111111111,0.0,0.0,0.0,0.0,0.222222222,0.222222222,0.222222222,0.0,0.0,0.0,0.0,1200.0,1440.0,,,,,BCC + Im,Im,"The alloy AlCr0.5NbTiV contains 5 elemental compositions: Al (0.222222222), Cr (0.111111111), Ti (0.222222222), V (0.222222222), Nb (0.222222222) and with heat treatment -  undergone homogenization process at 1200.0°C, for 1440.0 minutes,,showing a BCC and Im microstructure and Im phases.",,10.1016/j.jallcom.2015.08.224
AlCrMoNbTi,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,,,1300,1200.0,,,FCC,FCC_SS,"The alloy AlCrMoNbTi contains 5 elemental compositions: Al (0.2), Cr (0.2), Ti (0.2), Nb (0.2), Mo (0.2) and with heat treatment -  undergone annealing process at 1300°C, for 1200.0 minutes,,showing a FCC microstructure and FCC_SS phases.",,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,,,1300,1200.0,,,FCC,FCC_SS,"The alloy AlCrMoNbTi contains 5 elemental compositions: Al (0.2), Cr (0.2), Ti (0.2), Nb (0.2), Mo (0.2) and with heat treatment -  undergone annealing process at 1300°C, for 1200.0 minutes,,showing a FCC microstructure and FCC_SS phases.",,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,,,1300,1200.0,,,FCC,FCC_SS,"The alloy AlCrMoNbTi contains 5 elemental compositions: Al (0.2), Cr (0.2), Ti (0.2), Nb (0.2), Mo (0.2) and with heat treatment -  undergone annealing process at 1300°C, for 1200.0 minutes,,showing a FCC microstructure and FCC_SS phases.",,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,,,1300,1200.0,,,FCC,FCC_SS,"The alloy AlCrMoNbTi contains 5 elemental compositions: Al (0.2), Cr (0.2), Ti (0.2), Nb (0.2), Mo (0.2) and with heat treatment -  undergone annealing process at 1300°C, for 1200.0 minutes,,showing a FCC microstructure and FCC_SS phases.",,10.1016/j.jallcom.2015.11.050
AlCrMoNbTi,0.2,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0,0.2,0.2,0.0,0.0,0.0,,,1300,1200.0,,,FCC,FCC_SS,"The alloy AlCrMoNbTi contains 5 elemental compositions: Al (0.2), Cr (0.2), Ti (0.2), Nb (0.2), Mo (0.2) and with heat treatment -  undergone annealing process at 1300°C, for 1200.0 minutes,,showing a FCC microstructure and FCC_SS phases.",,10.1016/j.jallcom.2015.11.050
AlMoNbTiV,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.0,0.0,0.0,,,,,,,BCC,BCC_SS,"The alloy AlMoNbTiV contains 5 elemental compositions: Al (0.2), Ti (0.2), V (0.2), Nb (0.2), Mo (0.2) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.3390/e16020870
MoTaTiV,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.25,0.0,0.0,0.25,,,,,,,BCC,BCC_SS,"The alloy MoTaTiV contains 4 elemental compositions: Ti (0.25), V (0.25), Mo (0.25), Ta (0.25) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.4028/www.scientific.net/MSF.898.638
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,1200.0,120.0,1200,1440.0,10°C/min,,BCC,BCC_SS,"The alloy AlNb1.5Ta0.5Ti1.5Zr0.5 contains 5 elemental compositions: Al (0.2), Ti (0.3), Nb (0.3), Zr (0.1), Ta (0.1) and with heat treatment -  undergone homogenization process at 1200.0°C, for 120.0 minutes,, undergone annealing process at 1200°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,1200.0,120.0,1200,1440.0,10°C/min,,BCC,BCC_SS,"The alloy AlNb1.5Ta0.5Ti1.5Zr0.5 contains 5 elemental compositions: Al (0.2), Ti (0.3), Nb (0.3), Zr (0.1), Ta (0.1) and with heat treatment -  undergone homogenization process at 1200.0°C, for 120.0 minutes,, undergone annealing process at 1200°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
AlNb1.5Ta0.5Ti1.5Zr0.5,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.3,0.0,0.3,0.0,0.1,0.0,0.1,1200.0,120.0,1200,1440.0,10°C/min,,BCC,BCC_SS,"The alloy AlNb1.5Ta0.5Ti1.5Zr0.5 contains 5 elemental compositions: Al (0.2), Ti (0.3), Nb (0.3), Zr (0.1), Ta (0.1) and with heat treatment -  undergone homogenization process at 1200.0°C, for 120.0 minutes,, undergone annealing process at 1200°C, for 1440.0 minutes,, and undergone quenching process (10°C/min),,showing a BCC microstructure and BCC_SS phases.",,10.1007/s11837-014-1066-0
AlNbTaTiV,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.0,0.0,0.0,0.2,,,,,,,BCC,BCC_SS,"The alloy AlNbTaTiV contains 5 elemental compositions: Al (0.2), Ti (0.2), V (0.2), Nb (0.2), Ta (0.2) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.proeng.2012.03.043
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177644711,0.0,0.30738523,0.0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,"The alloy Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64 contains 5 elemental compositions: Ti (0.177644711), Nb (0.30738523), Zr (0.127744511), Hf (0.079840319), Ta (0.30738523) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177644711,0.0,0.30738523,0.0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,"The alloy Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64 contains 5 elemental compositions: Ti (0.177644711), Nb (0.30738523), Zr (0.127744511), Hf (0.079840319), Ta (0.30738523) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177644711,0.0,0.30738523,0.0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,"The alloy Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64 contains 5 elemental compositions: Ti (0.177644711), Nb (0.30738523), Zr (0.127744511), Hf (0.079840319), Ta (0.30738523) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1080/14786435.2015.1028506
Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.177644711,0.0,0.30738523,0.0,0.127744511,0.079840319,0.30738523,,,,,,,BCC,BCC_SS,"The alloy Hf0.4Nb1.54Ta1.54Ti0.89Zr0.64 contains 5 elemental compositions: Ti (0.177644711), Nb (0.30738523), Zr (0.127744511), Hf (0.079840319), Ta (0.30738523) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1080/14786435.2015.1028506
Hf0.5Mo0.5NbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.125,0.25,0.125,0.0,,,,,,,BCC,BCC_SS,"The alloy Hf0.5Mo0.5NbTiZr contains 5 elemental compositions: Ti (0.25), Nb (0.25), Mo (0.125), Zr (0.25), Hf (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.intermet.2015.09.011
Hf0.5Mo0.5NbTiZr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.0,0.25,0.125,0.25,0.125,0.0,,,,,,,BCC,BCC_SS,"The alloy Hf0.5Mo0.5NbTiZr contains 5 elemental compositions: Ti (0.25), Nb (0.25), Mo (0.125), Zr (0.25), Hf (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.jallcom.2015.11.091
Hf0.5Nb0.5Ta0.5Ti1.5Zr,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.125,0.0,0.25,0.125,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.5Nb0.5Ta0.5Ti1.5Zr contains 5 elemental compositions: Ti (0.375), Nb (0.125), Zr (0.25), Hf (0.125), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1063/1.4966659
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,,,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and without heat treatment,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf0.75NbTa0.5Ti1.5Zr1.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.375,0.0,0.0,0.0,0.3125,0.1875,0.125,,,1000,60.0,,,BCC,BCC_SS,"The alloy Hf0.75NbTa0.5Ti1.5Zr1.25 contains 4 elemental compositions: Ti (0.375), Zr (0.3125), Hf (0.1875), Ta (0.125) and with heat treatment -  undergone annealing process at 1000°C, for 60.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1016/j.msea.2017.10.073
Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35,0.0,0.05,0.0,0.275,0.275,0.05,,,900,30.0,,,BCC,BCC_SS,"The alloy Hf1.375Nb0.25Ta0.25Ti1.75Zr1.375 contains 5 elemental compositions: Ti (0.35), Nb (0.05), Zr (0.275), Hf (0.275), Ta (0.05) and with heat treatment -  undergone annealing process at 900°C, for 30.0 minutes,,showing a BCC microstructure and BCC_SS phases.",,10.1080/21663831.2016.1221861
